username,encodedUsername,link,accountNumber,accountCreated,accountAge,linksRef
kevinatilusa,kevinatilusa,https://fark.com/users/kevinatilusa,13657,2001-11-07,20,89
WhippingBoi,WhippingBoi,https://fark.com/users/WhippingBoi,1141964,2020-11-28,1,2
ImpendingCynic,ImpendingCynic,https://fark.com/users/ImpendingCynic,357269,2007-08-24,14,18
comrade,comrade,https://fark.com/users/comrade,72965,2003-01-30,18,None
kdawg7736,kdawg7736,https://fark.com/users/kdawg7736,412992,2008-06-29,13,10047
Heamer,Heamer,https://fark.com/users/Heamer,150105,2004-04-05,17,430
The_Sponge,The_Sponge,https://fark.com/users/The_Sponge,193289,2004-11-05,17,46
The_Sponge,The_Sponge,https://fark.com/users/The_Sponge,193289,2004-11-05,17,46
BigNumber12,BigNumber12,https://fark.com/users/BigNumber12,449253,2008-12-27,13,517
jim32rr,jim32rr,https://fark.com/users/jim32rr,324978,2007-02-08,14,1557
xxBirdMadGirlxx,xxBirdMadGirlxx,https://fark.com/users/xxBirdMadGirlxx,354647,2007-08-09,14,None
Kyle Butler,Kyle%20Butler,https://fark.com/users/Kyle%20Butler,588169,2010-08-24,11,198
Somaticasual,Somaticasual,https://fark.com/users/Somaticasual,390594,2008-03-01,13,7
Kriggerel,Kriggerel,https://fark.com/users/Kriggerel,471318,2009-04-29,12,1
Begoggle,Begoggle,https://fark.com/users/Begoggle,44784,2002-07-11,19,30
guestguy,guestguy,https://fark.com/users/guestguy,413430,2008-07-01,13,1
Pointy Tail of Satan,Pointy%20Tail%20of%20Satan,https://fark.com/users/Pointy%20Tail%20of%20Satan,361065,2007-09-18,14,26
Resident Muslim,Resident%20Muslim,https://fark.com/users/Resident%20Muslim,471261,2009-04-29,12,233
Resident Muslim,Resident%20Muslim,https://fark.com/users/Resident%20Muslim,471261,2009-04-29,12,233
Solty Dog,Solty%20Dog,https://fark.com/users/Solty%20Dog,234398,2005-06-24,16,8
Weatherkiss,Weatherkiss,https://fark.com/users/Weatherkiss,722339,2011-11-01,10,8
xxBirdMadGirlxx,xxBirdMadGirlxx,https://fark.com/users/xxBirdMadGirlxx,354647,2007-08-09,14,None
berylman,berylman,https://fark.com/users/berylman,119065,2003-11-07,18,19
Resident Muslim,Resident%20Muslim,https://fark.com/users/Resident%20Muslim,471261,2009-04-29,12,233
cravak,cravak,https://fark.com/users/cravak,222156,2005-04-09,16,1
WhippingBoi,WhippingBoi,https://fark.com/users/WhippingBoi,1141964,2020-11-28,1,2
MrHormel,MrHormel,https://fark.com/users/MrHormel,2596,2001-04-17,20,4
MrHormel,MrHormel,https://fark.com/users/MrHormel,2596,2001-04-17,20,4
xanadian,xanadian,https://fark.com/users/xanadian,287644,2006-05-26,15,96
cameroncrazy1984,cameroncrazy1984,https://fark.com/users/cameroncrazy1984,211512,2005-02-08,16,46
guestguy,guestguy,https://fark.com/users/guestguy,413430,2008-07-01,13,1
DisseminationMonkey,DisseminationMonkey,https://fark.com/users/DisseminationMonkey,911476,2014-07-27,7,388
Solty Dog,Solty%20Dog,https://fark.com/users/Solty%20Dog,234398,2005-06-24,16,8
guestguy,guestguy,https://fark.com/users/guestguy,413430,2008-07-01,13,1
Weatherkiss,Weatherkiss,https://fark.com/users/Weatherkiss,722339,2011-11-01,10,8
ajgeek,ajgeek,https://fark.com/users/ajgeek,293565,2006-07-08,15,15
DisseminationMonkey,DisseminationMonkey,https://fark.com/users/DisseminationMonkey,911476,2014-07-27,7,388
maudibjr,maudibjr,https://fark.com/users/maudibjr,121228,2003-11-18,18,2
little big man,little%20big%20man,https://fark.com/users/little%20big%20man,133638,2004-01-20,17,186
NM Volunteer,NM%20Volunteer,https://fark.com/users/NM%20Volunteer,1118916,2020-06-17,1,43
kdawg7736,kdawg7736,https://fark.com/users/kdawg7736,412992,2008-06-29,13,10047
abhorrent1,abhorrent1,https://fark.com/users/abhorrent1,371486,2007-11-16,14,780
GardenWeasel,GardenWeasel,https://fark.com/users/GardenWeasel,249028,2005-09-20,16,170
Rev.K,Rev.K,https://fark.com/users/Rev.K,211344,2005-02-07,16,50
TrashcanMan,TrashcanMan,https://fark.com/users/TrashcanMan,233043,2005-06-16,16,None
Driedsponge,Driedsponge,https://fark.com/users/Driedsponge,88949,2003-05-03,18,111
Wendigogo,Wendigogo,https://fark.com/users/Wendigogo,1006607,2017-07-07,4,62
kdawg7736,kdawg7736,https://fark.com/users/kdawg7736,412992,2008-06-29,13,10047
Angry Drunk Bureaucrat,Angry%20Drunk%20Bureaucrat,https://fark.com/users/Angry%20Drunk%20Bureaucrat,241529,2005-08-05,16,11
stuffy,stuffy,https://fark.com/users/stuffy,53486,2002-09-08,19,3
emersonbiggins,emersonbiggins,https://fark.com/users/emersonbiggins,325096,2007-02-09,14,23
Harry Freakstorm,Harry%20Freakstorm,https://fark.com/users/Harry%20Freakstorm,266987,2006-01-13,15,159
ajgeek,ajgeek,https://fark.com/users/ajgeek,293565,2006-07-08,15,15
Tom-Servo,Tom-Servo,https://fark.com/users/Tom-Servo,57556,2002-10-10,19,None
Optimus Primate,Optimus%20Primate,https://fark.com/users/Optimus%20Primate,577501,2010-07-15,11,10
NM Volunteer,NM%20Volunteer,https://fark.com/users/NM%20Volunteer,1118916,2020-06-17,1,43
OkieDookie,OkieDookie,https://fark.com/users/OkieDookie,917697,2014-10-06,7,36
Pert,Pert,https://fark.com/users/Pert,187157,2004-10-06,17,333
AlgaeRancher,AlgaeRancher,https://fark.com/users/AlgaeRancher,92001,2003-05-23,18,2
guestguy,guestguy,https://fark.com/users/guestguy,413430,2008-07-01,13,1
Pointy Tail of Satan,Pointy%20Tail%20of%20Satan,https://fark.com/users/Pointy%20Tail%20of%20Satan,361065,2007-09-18,14,26
Lexx,Lexx,https://fark.com/users/Lexx,263311,2005-12-20,16,None
Hey Nurse!,Hey%20Nurse%21,https://fark.com/users/Hey%20Nurse%21,1021922,2017-12-30,4,None
patrick767,patrick767,https://fark.com/users/patrick767,202131,2004-12-21,17,24
Thudfark,Thudfark,https://fark.com/users/Thudfark,435129,2008-10-14,13,246
foo monkey,foo%20monkey,https://fark.com/users/foo%20monkey,248942,2005-09-20,16,148
GrizzlyPouch,GrizzlyPouch,https://fark.com/users/GrizzlyPouch,796445,2012-06-29,9,1
Liadan,Liadan,https://fark.com/users/Liadan,1035253,2018-05-29,3,None
maxandgrinch,maxandgrinch,https://fark.com/users/maxandgrinch,187617,2004-10-08,17,60
Pointy Tail of Satan,Pointy%20Tail%20of%20Satan,https://fark.com/users/Pointy%20Tail%20of%20Satan,361065,2007-09-18,14,26
groppet,groppet,https://fark.com/users/groppet,697272,2011-08-13,10,196
buserror,buserror,https://fark.com/users/buserror,259275,2005-11-26,16,None
GrizzlyPouch,GrizzlyPouch,https://fark.com/users/GrizzlyPouch,796445,2012-06-29,9,1
TrashcanMan,TrashcanMan,https://fark.com/users/TrashcanMan,233043,2005-06-16,16,None
proteus_b,proteus_b,https://fark.com/users/proteus_b,233777,2005-06-21,16,2
patrick767,patrick767,https://fark.com/users/patrick767,202131,2004-12-21,17,24
emersonbiggins,emersonbiggins,https://fark.com/users/emersonbiggins,325096,2007-02-09,14,23
kdawg7736,kdawg7736,https://fark.com/users/kdawg7736,412992,2008-06-29,13,10047
Valter,Valter,https://fark.com/users/Valter,1239419,2021-09-23,0,None
Headso,Headso,https://fark.com/users/Headso,232044,2005-06-10,16,None
Burke Turkey,Burke%20Turkey,https://fark.com/users/Burke%20Turkey,566262,2010-06-03,11,1
HotWingConspiracy,HotWingConspiracy,https://fark.com/users/HotWingConspiracy,112440,2003-10-02,18,67
guestguy,guestguy,https://fark.com/users/guestguy,413430,2008-07-01,13,1
Heamer,Heamer,https://fark.com/users/Heamer,150105,2004-04-05,17,430
HailRobonia,HailRobonia,https://fark.com/users/HailRobonia,573951,2010-07-02,11,None
Kirby Delauter,Kirby%20Delauter,https://fark.com/users/Kirby%20Delauter,925711,2015-01-06,6,22
Kit Fister,Kit%20Fister,https://fark.com/users/Kit%20Fister,676973,2011-06-14,10,272
sniderman,sniderman,https://fark.com/users/sniderman,139185,2004-02-13,17,23
emersonbiggins,emersonbiggins,https://fark.com/users/emersonbiggins,325096,2007-02-09,14,23
Unobtanium,Unobtanium,https://fark.com/users/Unobtanium,312568,2006-11-16,15,179
Harry Freakstorm,Harry%20Freakstorm,https://fark.com/users/Harry%20Freakstorm,266987,2006-01-13,15,159
151,151,https://fark.com/users/151,90136,2003-05-10,18,13
Kit Fister,Kit%20Fister,https://fark.com/users/Kit%20Fister,676973,2011-06-14,10,272
Kit Fister,Kit%20Fister,https://fark.com/users/Kit%20Fister,676973,2011-06-14,10,272
Chemlight Battery,Chemlight%20Battery,https://fark.com/users/Chemlight%20Battery,994703,2017-02-19,4,5
JS64,JS64,https://fark.com/users/JS64,1240370,2021-09-27,0,None
TastyEloi,TastyEloi,https://fark.com/users/TastyEloi,359185,2007-09-06,14,None
Exile On Beale Street,Exile%20On%20Beale%20Street,https://fark.com/users/Exile%20On%20Beale%20Street,938291,2015-05-21,6,None
Kit Fister,Kit%20Fister,https://fark.com/users/Kit%20Fister,676973,2011-06-14,10,272
icon0fs1n,icon0fs1n,https://fark.com/users/icon0fs1n,260825,2005-12-06,16,1
Marcos P,Marcos%20P,https://fark.com/users/Marcos%20P,213552,2005-02-17,16,26
Flowery Twats,Flowery%20Twats,https://fark.com/users/Flowery%20Twats,1145491,2020-12-22,1,None
Zik-Zak,Zik-Zak,https://fark.com/users/Zik-Zak,381817,2008-01-17,13,7
Zik-Zak,Zik-Zak,https://fark.com/users/Zik-Zak,381817,2008-01-17,13,7
Geotpf,Geotpf,https://fark.com/users/Geotpf,85890,2003-04-15,18,140
thespindrifter,thespindrifter,https://fark.com/users/thespindrifter,177018,2004-08-16,17,30
jso2897,jso2897,https://fark.com/users/jso2897,302118,2006-09-02,15,2
R2112,R2112,https://fark.com/users/R2112,347768,2007-06-29,14,82
Resident Muslim,Resident%20Muslim,https://fark.com/users/Resident%20Muslim,471261,2009-04-29,12,233
jimjays,jimjays,https://fark.com/users/jimjays,1081214,2019-08-11,2,None
WereBear666,WereBear666,https://fark.com/users/WereBear666,385648,2008-02-06,13,5
Marcos P,Marcos%20P,https://fark.com/users/Marcos%20P,213552,2005-02-17,16,26
big pig peaches,big%20pig%20peaches,https://fark.com/users/big%20pig%20peaches,354317,2007-08-07,14,8
Hobo as a nerd,Hobo%20as%20a%20nerd,https://fark.com/users/Hobo%20as%20a%20nerd,974426,2016-07-06,5,None
aungen,aungen,https://fark.com/users/aungen,780689,2012-05-01,9,37
BigNumber12,BigNumber12,https://fark.com/users/BigNumber12,449253,2008-12-27,13,517
Somaticasual,Somaticasual,https://fark.com/users/Somaticasual,390594,2008-03-01,13,7
giantmeteor,giantmeteor,https://fark.com/users/giantmeteor,995979,2017-03-05,4,137
fragMasterFlash,fragMasterFlash,https://fark.com/users/fragMasterFlash,214081,2005-02-20,16,212
SumoJeb,SumoJeb,https://fark.com/users/SumoJeb,65091,2002-12-10,19,57
macadamnut,macadamnut,https://fark.com/users/macadamnut,405451,2008-05-20,13,None
DoganSquirrelSlayer,DoganSquirrelSlayer,https://fark.com/users/DoganSquirrelSlayer,1091309,2019-11-07,2,None
TFerWannaBe,TFerWannaBe,https://fark.com/users/TFerWannaBe,401941,2008-05-01,13,None
whidbey,whidbey,https://fark.com/users/whidbey,62272,2002-11-16,19,9
Numberlady2,Numberlady2,https://fark.com/users/Numberlady2,1144280,2020-12-14,1,5
mrspeacock,mrspeacock,https://fark.com/users/mrspeacock,180111,2004-08-31,17,None
punkwrestler,punkwrestler,https://fark.com/users/punkwrestler,574104,2010-07-03,11,28
whidbey,whidbey,https://fark.com/users/whidbey,62272,2002-11-16,19,9
JRoo,JRoo,https://fark.com/users/JRoo,334514,2007-04-16,14,2
soupafi,soupafi,https://fark.com/users/soupafi,688942,2011-07-20,10,77
Solty Dog,Solty%20Dog,https://fark.com/users/Solty%20Dog,234398,2005-06-24,16,8
stuffy,stuffy,https://fark.com/users/stuffy,53486,2002-09-08,19,3
bobbifleckman,bobbifleckman,https://fark.com/users/bobbifleckman,71666,2003-01-23,18,1
EasilyDistracted,EasilyDistracted,https://fark.com/users/EasilyDistracted,312722,2006-11-17,15,11
dennysgod,dennysgod,https://fark.com/users/dennysgod,281312,2006-04-13,15,369
